Dt_name Cre_transcriptID	Cre_transcript_E_value	Cre_geneID	Cre_proteinID	Cre_protein_definition
Locus_5821_Transcript_2/2_Confidence_0.875_Length_2457	CHLREDRAFT334787	1e-32	pm.chromosome_1_#_699	Cre01.g060850.t1.1	Chlorophyll A-B binding family protein
Locus_5822_Transcript_1/1_Confidence_1.000_Length_1444	CHLREDRAFT377878	1e-87	estExt_fgenesh1_pm.C_chromosome_30543	Cre03.g199300.t1.1	Aha1 domain-containing protein
Locus_5824_Transcript_1/2_Confidence_0.750_Length_1215	CHLREDRAFT183329	5e-141	estExt_fgenesh2_kg.C_140064	Cre16.g682900.t1.1	CLP protease proteolytic subunit 2
Locus_5826_Transcript_2/4_Confidence_0.625_Length_1773	CHLREDRAFT182764	0.0	estExt_fgenesh2_kg.C_20133	Cre13.g587050.t1.1	eukaryotic release factor 1-3
Locus_5829_Transcript_3/3_Confidence_0.719_Length_1678	CHLREDRAFT195915	1e-07	FER_153829	
Locus_5832_Transcript_2/2_Confidence_0.978_Length_2370	CHLREDRAFT187379	1e-87	estExt_fgenesh2_pg.C_60073	Cre05.g244800.t1.1	NAD(P)-binding Rossmann-fold superfamily protein
Locus_5833_Transcript_1/6_Confidence_0.588_Length_2390	CHLREDRAFT130182	2e-62	estExt_gwp_1H.C_240049	Cre02.g145300.t1.1	Ssu72-like family protein
Locus_5834_Transcript_1/1_Confidence_1.000_Length_2084	CHLREDRAFT394971	6e-138	pasa_Sanger_mRNA12727	Cre14.g614900.t1.1	glutamine-tRNA ligase, putative / glutaminyl-tRNA synthetase, putative / GlnRS, putative
Locus_5836_Transcript_1/1_Confidence_1.000_Length_984	CHLREDRAFT136383	1e-42	estExt_gwp_1W.C_10078	Cre01.g052250.t1.1	thioredoxin X
Locus_5837_Transcript_1/1_Confidence_1.000_Length_1717	CHLREDRAFT154066	1e-11	Chlre2_kg.scaffold_78000039	Cre12.g497350.t1.2	plastid transcriptionally active 3
Locus_5838_Transcript_1/1_Confidence_1.000_Length_749	CHLREDRAFT284058	6e-18	au.g2508_t2	
Locus_5840_Transcript_1/1_Confidence_1.000_Length_182	CHLREDRAFT169761	1e-15	fgenesh2_pg.C_scaffold_11000200	Cre12.g510034.t1.2	Tetratricopeptide repeat (TPR)-like superfamily protein
Locus_5841_Transcript_3/3_Confidence_0.667_Length_1392	CHLREDRAFT104702	2e-175	e_gwH.30.66.1	Cre09.g412750.t1.1	Protein kinase family protein with ARM repeat domain
Locus_5844_Transcript_1/1_Confidence_1.000_Length_1196	CHLREDRAFT118917	2e-88	e_gwW.26.42.1	Cre06.g283750.t1.1	homogentisate prenyltransferase
Locus_5854_Transcript_1/1_Confidence_1.000_Length_1065	CHLREDRAFT145919	5e-44	Chlre2_kg.scaffold_16000010	Cre07.g339350.t1.2	RAB geranylgeranyl transferase alpha subunit 1
Locus_5857_Transcript_1/1_Confidence_1.000_Length_288	CHLREDRAFT406769	2e-39	pasa_Sanger_mRNA1951	Cre01.g014500.t1.2	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Locus_5858_Transcript_1/1_Confidence_1.000_Length_2553			Cre04.g214450.t1.1	polyribonucleotide nucleotidyltransferase, putative
Locus_5867_Transcript_1/2_Confidence_0.667_Length_649	CHLREDRAFT178232	3e-08	fgenesh2_pg.C_scaffold_50000038	
Locus_5869_Transcript_1/1_Confidence_1.000_Length_1247			Cre08.g367700.t1.2	camphor resistance CrcB family protein
Locus_5877_Transcript_1/1_Confidence_1.000_Length_801	CHLREDRAFT377099	2e-55	estExt_fgenesh1_pm.C_chromosome_20348	Cre02.g102400.t1.1	DNA-directed RNA polymerase, subunit M, archaeal
Locus_5884_Transcript_2/2_Confidence_0.857_Length_989	CHLREDRAFT157152	3e-71	acegs_kg.scaffold_1000017	Cre01.g012300.t1.2	NA
Locus_5886_Transcript_1/1_Confidence_1.000_Length_1279	CHLREDRAFT205901	3e-48	SKA_Chlre2_kg.scaffold_1000693	Cre01.g049000.t1.1	Transcriptional coactivator/pterin dehydratase
Locus_5890_Transcript_1/1_Confidence_1.000_Length_587	CHLREDRAFT20204	2e-61	fgenesh1_pg.C_scaffold_56000018	Cre12.g495350.t1.2	NA
Locus_5891_Transcript_1/2_Confidence_0.667_Length_2771	CHLREDRAFT133289	0.0	estExt_gwp_1H.C_870029	Cre12.g561550.t1.1	ABC transporter of the mitochondrion 3
Locus_5896_Transcript_1/1_Confidence_1.000_Length_824	CHLREDRAFT344659	5e-22	estExt_fgenesh1_pg.C_chromosome_70131	Cre07.g321850.t1.1	chaperone binding;ATPase activators
Locus_5897_Transcript_1/1_Confidence_1.000_Length_1035	CHLREDRAFT186648	2e-18	estExt_fgenesh2_pg.C_70372	Cre02.g091550.t1.1	ssDNA-binding transcriptional regulator
Locus_5901_Transcript_1/1_Confidence_1.000_Length_1216	CHLREDRAFT24195	3e-85	estExt_fgenesh1_pm.C_210005	Cre08.g378900.t1.1	NADH dehydrogenase 3
Locus_5902_Transcript_1/1_Confidence_1.000_Length_1516	CHLREDRAFT130713	6e-92	estExt_gwp_1H.C_250029	Cre62.g792700.t1.1	Transducin family protein / WD-40 repeat family protein
Locus_5903_Transcript_3/3_Confidence_0.714_Length_1800	CHLREDRAFT5137	5e-172	fgenesh1_kg.C_scaffold_51000016	Cre23.g768000.t1.1	VALINE-TOLERANT 1
Locus_5904_Transcript_9/10_Confidence_0.050_Length_1630	CHLREDRAFT146571	1e-106	Chlre2_kg.scaffold_1000395	Cre01.g032500.t1.1	homolog of mamallian P58IPK
Locus_5907_Transcript_1/1_Confidence_1.000_Length_1842	CHLREDRAFT196776	0.0	SKA_e_gwH.31.56.1	Cre12.g525650.t1.1	chloroplastic NIFS-like cysteine desulfurase
Locus_5913_Transcript_1/1_Confidence_1.000_Length_950	CHLREDRAFT381711	7e-13	estExt_fgenesh1_pm.C_chromosome_170280	Cre17.g721800.t1.1	NA
Locus_5915_Transcript_1/1_Confidence_1.000_Length_1301	CHLREDRAFT149795	3e-41	Chlre2_kg.scaffold_27000064	
Locus_5918_Transcript_1/1_Confidence_1.000_Length_1010	CHLREDRAFT122741	7e-29	e_gwW.71.50.1	Cre07.g353550.t1.1	Translation initiation factor SUI1 family protein
Locus_5919_Transcript_1/1_Confidence_1.000_Length_1397	CHLREDRAFT195566	1e-46	SAN_chlre3.49.59.1.1	Cre17.g735400.t1.1	vacuolar protein sorting-associated protein 2.3
Locus_5923_Transcript_1/3_Confidence_0.697_Length_2315	CHLREDRAFT146607	1e-97	Chlre2_kg.scaffold_1000431	Cre01.g034400.t1.1	NagB/RpiA/CoA transferase-like superfamily protein
Locus_5930_Transcript_1/1_Confidence_1.000_Length_1653	CHLREDRAFT126943	0.0	estExt_gwp_1H.C_30479	Cre06.g257950.t1.1	aspartate aminotransferase 1
Locus_5934_Transcript_2/2_Confidence_0.600_Length_859	CHLREDRAFT175618	2e-26	fgenesh2_pg.C_scaffold_29000091	Cre08.g366150.t1.2	Transducin/WD40 repeat-like superfamily protein
Locus_5936_Transcript_1/2_Confidence_0.857_Length_1100	CHLREDRAFT185233	8e-12	estExt_fgenesh2_kg.C_420014	
Locus_5937_Transcript_1/2_Confidence_0.667_Length_745	CHLREDRAFT142951	6e-09	Chlre2_kg.scaffold_4000074	Cre12.g512650.t1.2	NA
Locus_5942_Transcript_1/2_Confidence_0.750_Length_1290	CHLREDRAFT183668	5e-38	estExt_fgenesh2_kg.C_10166	Cre04.g225050.t1.2	NA
Locus_5945_Transcript_1/1_Confidence_1.000_Length_1054	CHLREDRAFT205697	7e-16	SKA_estExt_fgenesh2_kg.C_430030	Cre14.g615250.t1.2	Thioredoxin superfamily protein
Locus_5946_Transcript_1/2_Confidence_0.800_Length_1457	CHLREDRAFT154573	5e-38	Chlre2_kg.scaffold_88000009	Cre12.g483900.t1.2	NA
Locus_5950_Transcript_1/1_Confidence_1.000_Length_2218	CHLREDRAFT196935	0.0	MHS_e_gwW.21.19.1	Cre08.g380200.t1.1	dehydroquinate dehydratase, putative / shikimate dehydrogenase, putative
Locus_5954_Transcript_1/2_Confidence_0.667_Length_1164	CHLREDRAFT205649	1e-62	OVA_estExt_fgenesh2_kg.C_190112	Cre03.g198850.t1.1	Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
Locus_5963_Transcript_1/1_Confidence_1.000_Length_1384	CHLREDRAFT190601	1e-69	estExt_fgenesh2_pg.C_190271	Cre03.g200650.t1.1	Glycosyl hydrolase superfamily protein
Locus_5965_Transcript_1/1_Confidence_1.000_Length_2312	CHLREDRAFT145230	5e-96	Chlre2_kg.scaffold_13000143	Cre17.g703750.t1.1	ARM repeat superfamily protein
Locus_5968_Transcript_1/2_Confidence_0.667_Length_2154	CHLREDRAFT335207	8e-144	pm.chromosome_2_#_306	Cre02.g098150.t1.1	xylulose kinase-1
Locus_5969_Transcript_1/1_Confidence_1.000_Length_1285	CHLREDRAFT188921	7e-30	estExt_fgenesh2_pg.C_120213	Cre06.g300100.t1.1	N-acetylglucosaminylphosphatidylinositol de-N-acetylase family protein
Locus_5977_Transcript_1/1_Confidence_1.000_Length_440	CHLREDRAFT141578	1e-21	Chlre2_kg.scaffold_7000405	Cre02.g094250.t1.1	Mitochondrial substrate carrier family protein
Locus_5978_Transcript_1/1_Confidence_1.000_Length_1610	CHLREDRAFT182974	4e-158	estExt_fgenesh2_kg.C_100121	Cre07.g328150.t1.2	PDI-like 2-3
Locus_5980_Transcript_1/1_Confidence_1.000_Length_713			Cre17.g696200.t1.1	NA
Locus_5987_Transcript_1/1_Confidence_1.000_Length_2521	CHLREDRAFT118974	0.0	e_gwW.26.24.1	Cre06.g284750.t1.1	Translation elongation factor EF1A/initiation factor IF2gamma family protein
Locus_5991_Transcript_1/1_Confidence_1.000_Length_905	CHLREDRAFT339773	2e-54	pm.chromosome_12_#_797	Cre12.g553150.t1.1	NA
Locus_5992_Transcript_1/2_Confidence_0.667_Length_1101	CHLREDRAFT289653	4e-154	au.g7742_t1	Cre17.g734900.t1.1	NA
Locus_5994_Transcript_3/3_Confidence_0.667_Length_1021	CHLREDRAFT129070	7e-96	estExt_gwp_1H.C_10225	Cre01.g026600.t1.1	ubiquitin-conjugating enzyme 36
Locus_5997_Transcript_1/1_Confidence_1.000_Length_1024	CHLREDRAFT187440	2e-87	estExt_fgenesh2_pg.C_60167	Cre07.g314100.t1.1	Ribosomal protein L1p/L10e family
Locus_5998_Transcript_3/3_Confidence_0.600_Length_2115	CHLREDRAFT192490	5e-169	estExt_fgenesh2_pg.C_320117	Cre17.g724850.t1.1	Transducin family protein / WD-40 repeat family protein
Locus_5999_Transcript_1/2_Confidence_0.900_Length_2174	CHLREDRAFT122463	4e-112	e_gwW.66.11.1	Cre18.g749950.t1.1	3\'-phosphoinositide-dependent protein kinase 1
Locus_6000_Transcript_2/2_Confidence_0.333_Length_1398			Cre04.g217800.t1.2	NA
Locus_6002_Transcript_2/3_Confidence_0.429_Length_1249	CHLREDRAFT174358	5e-59	fgenesh2_pg.C_scaffold_23000164	Cre02.g135450.t1.1	Phospholipid/glycerol acyltransferase family protein
Locus_6006_Transcript_1/1_Confidence_1.000_Length_849	CHLREDRAFT163874	9e-11	fgenesh2_kg.C_scaffold_29000025	Cre08.g367250.t1.2	NA
Locus_6009_Transcript_1/1_Confidence_1.000_Length_964	CHLREDRAFT120462	9e-89	e_gwW.38.38.1	Cre13.g598350.t1.1	Inositol monophosphatase family protein
Locus_6011_Transcript_1/1_Confidence_1.000_Length_933	CHLREDRAFT128384	1e-143	estExt_gwp_1H.C_130059	Cre17.g705400.t1.1	proteasome alpha subunit A1
Locus_6014_Transcript_1/1_Confidence_1.000_Length_890	CHLREDRAFT409918	3e-72	pasa_Sanger_mRNA17569	Cre17.g719500.t1.2	phytoene desaturase 3
Locus_6021_Transcript_1/1_Confidence_1.000_Length_870	CHLREDRAFT424296	1e-70	pasa_Sanger_mRNA9310	Cre12.g535700.t1.1	chloroplast heat shock protein 70-2
Locus_6023_Transcript_2/2_Confidence_0.889_Length_2409	CHLREDRAFT287617	8e-126	au.g5841_t1	Cre15.g639150.t1.2	LETM1-like protein
Locus_6024_Transcript_1/1_Confidence_1.000_Length_463	CHLREDRAFT205928	1e-18	SKA_Chlre2_kg.scaffold_20000066	Cre12.g543150.t1.2	DWNN domain, a CCHC-type zinc finger
Locus_6026_Transcript_1/1_Confidence_1.000_Length_2685	CHLREDRAFT284624	1e-33	au.g3031_t1	Cre12.g497900.t1.2	NA
Locus_6028_Transcript_1/2_Confidence_0.667_Length_627	CHLREDRAFT423783	1e-59	pasa_Sanger_mRNA7730	Cre12.g542000.t1.2	D-Tyr-tRNA(Tyr) deacylase family protein
Locus_6031_Transcript_1/1_Confidence_1.000_Length_968	CHLREDRAFT377863	2e-50	estExt_fgenesh1_pm.C_chromosome_30524	Cre03.g197800.t1.2	myosin 2
Locus_6034_Transcript_1/4_Confidence_0.286_Length_655	CHLREDRAFT188086	7e-35	estExt_fgenesh2_pg.C_20440	Cre13.g573650.t1.1	SC35-like splicing factor 30
Locus_6039_Transcript_2/2_Confidence_0.667_Length_1540	CHLREDRAFT23975	5e-157	estExt_fgenesh1_pm.C_50013	Cre02.g097650.t1.1	non-ATPase subunit 9
Locus_6043_Transcript_2/5_Confidence_0.632_Length_2621	CHLREDRAFT206017	8e-165	SKA_Chlre2_kg.scaffold_45000104	Cre01.g064150.t1.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_6047_Transcript_1/1_Confidence_1.000_Length_1528	CHLREDRAFT12416	1e-09	fgenesh1_pg.C_scaffold_1000255	Cre01.g022800.t1.2	NA
Locus_6050_Transcript_1/1_Confidence_1.000_Length_669	CHLREDRAFT323064	1e-16	kg.53_#_14_#_chlre3.45.106.1.3	
Locus_6053_Transcript_1/6_Confidence_0.174_Length_2182	CHLREDRAFT122609	9e-127	e_gwW.68.44.1	Cre17.g732823.t1.1	fumarylacetoacetase, putative
Locus_6053_Transcript_5/6_Confidence_0.304_Length_3475	CHLREDRAFT138990	1e-136	estExt_gwp_1W.C_380004	Cre13.g593450.t1.1	Transducin/WD40 repeat-like superfamily protein
Locus_6059_Transcript_1/1_Confidence_1.000_Length_871	CHLREDRAFT103770	4e-62	e_gwH.23.167.1	Cre02.g129950.t1.1	GTP cyclohydrolase I
Locus_6060_Transcript_4/4_Confidence_0.583_Length_1929	CHLREDRAFT93459	3e-19	fgenesh1_est.C_scaffold_7000105	Cre02.g093850.t1.2	Leucine-rich repeat (LRR) family protein
Locus_6066_Transcript_1/1_Confidence_1.000_Length_1317	CHLREDRAFT188339	3e-86	estExt_fgenesh2_pg.C_100057	Cre10.g442950.t1.1	Metallo-hydrolase/oxidoreductase superfamily protein
Locus_6068_Transcript_1/1_Confidence_1.000_Length_1005	CHLREDRAFT396102	5e-57	pasa_Sanger_mRNA14040	Cre16.g656700.t1.1	kinesin 5
Locus_6069_Transcript_2/2_Confidence_0.750_Length_1061	CHLREDRAFT187840	1e-10	estExt_fgenesh2_pg.C_20021	Cre13.g562900.t1.1	NA
Locus_6076_Transcript_2/3_Confidence_0.500_Length_1200	CHLREDRAFT339514	4e-21	pm.chromosome_12_#_538	Cre12.g530500.t1.1	NA
Locus_6080_Transcript_1/1_Confidence_1.000_Length_994	CHLREDRAFT395575	3e-42	pasa_Sanger_mRNA12415	Cre14.g627900.t1.1	Splicing factor 3B subunit 5/RDS3 complex subunit 10
Locus_6082_Transcript_1/1_Confidence_1.000_Length_1343	CHLREDRAFT308497	1e-41	kg.chromosome_7_#_182_#_chlre3.6.52.1.1	Cre07.g321300.t1.1	NAD(P)-linked oxidoreductase superfamily protein
Locus_6084_Transcript_1/2_Confidence_0.800_Length_1933	CHLREDRAFT180279	9e-29	fgenesh2_pg.C_scaffold_84000027	Cre27.g775500.t1.1	Tetratricopeptide repeat (TPR)-like superfamily protein
Locus_6089_Transcript_1/2_Confidence_0.667_Length_2523	CHLREDRAFT290984	8e-139	au.g8962_t1	Cre02.g108100.t1.2	Zn-dependent exopeptidases superfamily protein
Locus_6090_Transcript_1/1_Confidence_1.000_Length_1123	CHLREDRAFT182566	5e-66	estExt_fgenesh2_kg.C_40050	Cre10.g452650.t1.1	translocase inner membrane subunit 17-2
Locus_6091_Transcript_1/5_Confidence_0.316_Length_2399	CHLREDRAFT194613	3e-63	estExt_fgenesh2_pg.C_720027	Cre01.g004900.t1.1	NA
Locus_6092_Transcript_1/1_Confidence_1.000_Length_1071	CHLREDRAFT181887	1e-21	estExt_fgenesh2_kg.C_80051	Cre10.g427250.t1.1	profilin 5
Locus_6096_Transcript_1/1_Confidence_1.000_Length_1461	CHLREDRAFT393121	2e-62	pasa_Sanger_mRNA29002	Cre07.g319150.t1.1	mRNA capping enzyme family protein
Locus_6099_Transcript_1/1_Confidence_1.000_Length_1344	CHLREDRAFT3686	1e-97	fgenesh1_kg.C_scaffold_24000020	Cre02.g144350.t1.1	RAB GTPase homolog B1A
Locus_6101_Transcript_3/4_Confidence_0.571_Length_3746	CHLREDRAFT381198	0.0	estExt_fgenesh1_pm.C_chromosome_160038	Cre16.g651750.t1.1	tRNA synthetase class I (I, L, M and V) family protein
Locus_6107_Transcript_2/2_Confidence_0.500_Length_950	CHLREDRAFT158289	3e-49	acegs_kg.scaffold_28000015	Cre01.g065700.t1.2	NA
Locus_6108_Transcript_1/1_Confidence_1.000_Length_1202	CHLREDRAFT82483	4e-101	estExt_GenewiseW_1.C_580016	Cre05.g234750.t1.1	NA
Locus_6109_Transcript_1/1_Confidence_1.000_Length_1033	CHLREDRAFT205606	4e-34	SKA_estExt_fgenesh2_kg.C_430035	Cre14.g616250.t1.1	Polyketide cyclase / dehydrase and lipid transport protein
Locus_6110_Transcript_1/1_Confidence_1.000_Length_868	CHLREDRAFT348303	3e-29	estExt_fgenesh1_pg.C_590002	Cre59.g791700.t1.1	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
Locus_6113_Transcript_1/1_Confidence_1.000_Length_803	CHLREDRAFT146883	1e-30	Chlre2_kg.scaffold_1000707	Cre01.g049900.t1.2	NA
Locus_6118_Transcript_1/1_Confidence_1.000_Length_1098	CHLREDRAFT312904	1e-58	kg.chromosome_12_#_3_#_chlre3.88.42.1.3	Cre12.g483500.t1.2	pleckstrin homology (PH) domain-containing protein
Locus_6121_Transcript_1/1_Confidence_1.000_Length_2661	CHLREDRAFT18187	0.0	fgenesh1_pg.C_scaffold_37000050	Cre16.g657850.t1.1	DnaJ / Sec63 Brl domains-containing protein
Locus_6122_Transcript_3/3_Confidence_0.600_Length_1256	CHLREDRAFT189366	1e-68	estExt_fgenesh2_pg.C_140318	Cre16.g667750.t1.1	DNA-directed RNA polymerase II
Locus_6129_Transcript_6/8_Confidence_0.273_Length_613	CHLREDRAFT192081	2e-103	estExt_fgenesh2_pg.C_300052	Cre09.g410600.t1.2	Protein phosphatase 2C family protein
Locus_6135_Transcript_1/1_Confidence_1.000_Length_1200	CHLREDRAFT205823	2e-86	KUR_e_gwW.21.62.1	Cre08.g382300.t1.1	cofactor assembly of complex C
Locus_6136_Transcript_1/1_Confidence_1.000_Length_229	CHLREDRAFT205634	1e-17	SKA_estExt_fgenesh2_pg.C_390080	Cre16.g651000.t1.1	Replication factor-A protein 1-related
Locus_6138_Transcript_1/1_Confidence_1.000_Length_1642	CHLREDRAFT295859	0.0	au.g13532_t1	Cre06.g306850.t1.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Locus_6140_Transcript_1/1_Confidence_1.000_Length_1625			Cre15.g635650.t1.1	D-alanine--D-alanine ligase family
Locus_6143_Transcript_1/1_Confidence_1.000_Length_790	CHLREDRAFT147458	1e-113	Chlre2_kg.scaffold_19000132	Cre03.g207750.t1.2	Leucine-rich repeat protein kinase family protein
Locus_6159_Transcript_1/2_Confidence_0.833_Length_2152	CHLREDRAFT112673	4e-82	e_gwW.3.208.1	Cre06.g251450.t1.2	quinolinate synthase
Locus_6162_Transcript_2/2_Confidence_0.800_Length_5108	CHLREDRAFT130438	0.0	estExt_gwp_1H.C_280058	Cre16.g674950.t1.1	FAD/NAD(P)-binding oxidoreductase family protein
Locus_6164_Transcript_2/2_Confidence_1.000_Length_1809	CHLREDRAFT291098	9e-67	au.g9072_t1	Cre02.g113500.t1.1	NA
Locus_6168_Transcript_1/1_Confidence_1.000_Length_1256	CHLREDRAFT392484	1e-144	pasa_Sanger_mRNA28974	Cre07.g317150.t1.1	NA
Locus_6169_Transcript_1/1_Confidence_1.000_Length_1727	CHLREDRAFT380805	1e-115	estExt_fgenesh1_pm.C_chromosome_130285	Cre13.g586400.t1.1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Locus_6170_Transcript_1/1_Confidence_1.000_Length_768	CHLREDRAFT402674	1e-98	pasa_Sanger_mRNA27944	Cre06.g270750.t1.1	NA
Locus_6181_Transcript_2/2_Confidence_0.778_Length_2199	CHLREDRAFT169763	4e-35	fgenesh2_pg.C_scaffold_11000202	Cre12.g510100.t1.2	Peptidase family C54 protein
Locus_6184_Transcript_1/1_Confidence_1.000_Length_1113	CHLREDRAFT380028	2e-45	estExt_fgenesh1_pm.C_chromosome_120168	Cre12.g497850.t1.1	NA
Locus_6185_Transcript_1/1_Confidence_1.000_Length_2527	CHLREDRAFT168454	6e-35	fgenesh2_pg.C_scaffold_2000100	Cre13.g567100.t1.2	L-galactono-1,4-lactone dehydrogenase
Locus_6188_Transcript_2/2_Confidence_0.938_Length_2272	CHLREDRAFT345634	0.0	estExt_fgenesh1_pg.C_chromosome_100398	Cre10.g446900.t1.1	pleiotropic regulatory locus 1
Locus_6190_Transcript_1/1_Confidence_1.000_Length_239	CHLREDRAFT176821	3e-15	fgenesh2_pg.C_scaffold_38000088	Cre13.g597650.t1.2	SWIM zinc finger family protein / mitogen-activated protein kinase kinase kinase (MAPKKK)-related
Locus_6193_Transcript_1/1_Confidence_1.000_Length_821	CHLREDRAFT406035	1e-34	pasa_Sanger_mRNA2604	Cre01.g042150.t1.2	farnesylated protein-converting enzyme 2
Locus_6197_Transcript_1/1_Confidence_1.000_Length_1263	CHLREDRAFT205943	2e-41	SKA_861959	Cre16.g659850.t1.1	shikimate kinase like 2
Locus_6200_Transcript_1/1_Confidence_1.000_Length_1115	CHLREDRAFT190234	8e-63	estExt_fgenesh2_pg.C_10907	Cre14.g620400.t1.1	Signal peptidase subunit
Locus_6202_Transcript_1/2_Confidence_0.800_Length_4723	CHLREDRAFT394888	1e-130	pasa_Sanger_mRNA12705	Cre14.g613950.t1.1	ATP-binding cassette A2
Locus_6203_Transcript_3/3_Confidence_0.500_Length_1554	CHLREDRAFT417026	2e-108	pasa_Sanger_mRNA18582.1	Cre02.g091850.t1.1	ATP-dependent caseinolytic (Clp) protease/crotonase family protein
Locus_6205_Transcript_1/1_Confidence_1.000_Length_1464	CHLREDRAFT418765	6e-09	pasa_Sanger_mRNA23020	Cre14.g615800.t1.1	NA
Locus_6208_Transcript_1/1_Confidence_1.000_Length_1442	CHLREDRAFT345050	3e-18	estExt_fgenesh1_pg.C_chromosome_80245	Cre08.g375850.t1.1	NA
Locus_6214_Transcript_1/1_Confidence_1.000_Length_2691	CHLREDRAFT61144	0.0	gwW.2.27.1	Cre13.g568400.t1.1	FTSH protease 4
Locus_6217_Transcript_1/1_Confidence_1.000_Length_759	CHLREDRAFT412641	1e-25	pasa_Sanger_mRNA10632	Cre13.g594950.t1.2	NA
Locus_6219_Transcript_1/1_Confidence_1.000_Length_874	CHLREDRAFT137795	5e-50	estExt_gwp_1W.C_230139	Cre02.g133000.t1.1	Chaperone DnaJ-domain superfamily protein
Locus_6222_Transcript_1/1_Confidence_1.000_Length_1540	CHLREDRAFT396066	7e-177	pasa_Sanger_mRNA15605	Cre16.g675350.t1.2	tripeptidyl peptidase ii
Locus_6228_Transcript_1/1_Confidence_1.000_Length_666	CHLREDRAFT171654	1e-14	fgenesh2_pg.C_scaffold_1000275	Cre01.g024850.t1.2	NA
Locus_6229_Transcript_1/1_Confidence_1.000_Length_1759	CHLREDRAFT393658	7e-99	pasa_Sanger_mRNA5799	Cre11.g474700.t1.2	Bestrophin-like protein
Locus_6230_Transcript_1/2_Confidence_0.667_Length_2262	CHLREDRAFT131695	0.0	estExt_gwp_1H.C_370041	Cre16.g663200.t1.2	protein serine/threonine phosphatases;protein kinases;catalytics;cAMP-dependent protein kinase regulators;ATP binding;protein serine/threonine phosphatases
Locus_6237_Transcript_1/1_Confidence_1.000_Length_1296	CHLREDRAFT196320	4e-122	MHS_estExt_fgenesh2_pg.C_50172	Cre02.g109550.t1.1	aspartate kinase-homoserine dehydrogenase ii
Locus_6238_Transcript_1/1_Confidence_1.000_Length_1150	CHLREDRAFT139760	9e-53	estExt_gwp_1W.C_510018	Cre23.g766950.t1.1	BAX inhibitor 1
Locus_6241_Transcript_4/4_Confidence_0.571_Length_985	CHLREDRAFT184276	7e-54	estExt_fgenesh2_kg.C_240038	Cre02.g147100.t1.1	NA
Locus_6242_Transcript_1/1_Confidence_1.000_Length_1159	CHLREDRAFT297271	7e-46	au.g14871_t1	Cre08.g370450.t1.1	Co-chaperone GrpE family protein
Locus_6254_Transcript_1/1_Confidence_1.000_Length_1021			Cre17.g706600.t1.1	NA
Locus_6258_Transcript_6/6_Confidence_0.368_Length_1623	CHLREDRAFT338485	3e-52	pm.chromosome_10_#_164	Cre10.g430750.t1.2	Duplicated homeodomain-like superfamily protein
Locus_6262_Transcript_2/2_Confidence_0.667_Length_491	CHLREDRAFT415385	2e-24	pasa_Sanger_mRNA20735	Cre02.g112400.t1.2	NA
Locus_6263_Transcript_1/1_Confidence_1.000_Length_1159	CHLREDRAFT380753	4e-114	estExt_fgenesh1_pm.C_chromosome_130216	Cre13.g579950.t1.1	Protein prenylyltransferase superfamily protein
Locus_6264_Transcript_2/2_Confidence_0.667_Length_1141	CHLREDRAFT175829	2e-63	fgenesh2_pg.C_scaffold_34000135	Cre03.g154250.t1.2	Protein kinase superfamily protein
Locus_6265_Transcript_2/2_Confidence_0.500_Length_750	CHLREDRAFT205578	4e-26	SKA_chlre3.29.6.1.1	
Locus_6271_Transcript_1/1_Confidence_1.000_Length_705			Cre13.g578600.t1.2	NA
Locus_6278_Transcript_3/3_Confidence_0.714_Length_1747	CHLREDRAFT380454	3e-138	estExt_fgenesh1_pm.C_chromosome_120721	Cre12.g546350.t1.1	Protein of unknown function (DUF803)
Locus_6280_Transcript_4/5_Confidence_0.529_Length_1215	CHLREDRAFT183986	2e-35	estExt_fgenesh2_kg.C_170025	Cre14.g626750.t1.1	Chlorophyll A-B binding family protein
Locus_6282_Transcript_2/2_Confidence_1.000_Length_1117	CHLREDRAFT331692	5e-26	pg.chromosome_14_#_157	Cre14.g619950.t1.1	GCK domain-containing protein
Locus_6285_Transcript_2/4_Confidence_0.405_Length_375	CHLREDRAFT144129	5e-11	Chlre2_kg.scaffold_10000009	Cre10.g444950.t1.1	NA
Locus_6291_Transcript_1/1_Confidence_1.000_Length_775	CHLREDRAFT132143	1e-118	estExt_gwp_1H.C_450111	Cre16.g688450.t1.1	NA
Locus_6293_Transcript_1/1_Confidence_1.000_Length_829	CHLREDRAFT146723	1e-12	Chlre2_kg.scaffold_1000547	Cre01.g041000.t1.2	DNA-binding enhancer protein-related
Locus_6294_Transcript_1/2_Confidence_0.667_Length_1204	CHLREDRAFT143984	3e-28	Chlre2_kg.scaffold_9000215	Cre03.g169200.t1.1	histidine triad nucleotide-binding 4
Locus_6295_Transcript_2/2_Confidence_0.778_Length_1454	CHLREDRAFT183275	7e-130	estExt_fgenesh2_kg.C_140004	Cre03.g184550.t1.1	Low  PSII Accumulation 3
